SÕNA,DEFINITSIOON,TASE
aabits,raamat kirjaoskuse algete omandamiseks,B1
aasta,"ajavahemik, mille vältel Maa teeb tiiru ümber Päikese",A1
aastaaeg,atmosfääri tingimuste järgi jaotatud aasta perioodid,B1
aastakäik,perioodikaväljaande ilmumisaasta järjenumber alates ilmumise algusest,B2
aastane,üks aasta vana,A2
aastapäev,"päev, mil möödub teatud arv aastaid mingist sündmusest, millegi asutamisest, rajamisest ja nii edasi",A2
aastaringselt,"läbi aasta toimuvana, terve aasta jooksul",B2
aastatuhat,"tuhat aastat, tuhandeaastane periood",B2
aastavahetus,vana aasta lõpp ja uue aasta algus,B1
aatom,millegi üliväike osa või miski üliväiksel kujul,B2
abi,"tegevus, millega soodustatakse mingi vajaduse rahuldamist või toetatakse mingite püüdluste või eesmärkide elluviimist",A1
abielluma,"abiellu astuma, abielu sõlmima, naist võtma või mehele minema",A2
abielus,"seisund, kus kaks inimest on ametlikus liidus ja hrl elavad koos",A2
abikaasa,üks abielupool teise abielupoole suhtes,A1
abiline,"mingis töös kellelgi ajutiselt, juhuslikult või pidevalt abiks olev isik",B2
abinõu,"mingile eesmärgile suunatud, selle saavutamiseks rakendatud tegevus",B1
abitu,"hädas olev, kaitset, tuge, abi vajav",B2
abiturient,keskkooli lõpuklassi õpilane,B2
abivahend,abistav vahend mingi tegevuse läbiviimiseks,B2
absoluutne,"täielik või täiuslik, väga suur",B2
absoluutselt,"suurel, täiel määral",B2
abstraktne,mõttes eksisteeriv,B2
administraator,igapäevast praktilist tööd korraldav ametiisik,B1
admiral,mereväe kõrgeimate auastmete liik ning üks neist auastmeist,B2
adresseerima,kellelegi midagi suunama,B2
advokaat,"isik, kes kaitseb midagi või kedagi",B1
aed,piirav või eraldav tõke,A1
aeg,"kestus, milles sündmused mööduvad tulevikust läbi oleviku minevikku",A1
aeg-ajalt,mõnel juhul,A2
aeglane,"aegamööda, pikkamööda toimuv, kulgev või arenev",A1
aeglaselt,mitte kiiresti,B1
aeglustama,aeglaseks muutma,B2
aeglustuma,aeglaseks muutuma või jääma,B2
aegumatu,mitte kunagi aeguv,C1
aevastama,nina limaskesta ärrituse tõttu õhku ninast,B1
aga,rõhutades mingi tegevuse või asja eeldatavat lisandumist,A1
agar,innukalt millegagi tegutsev või tegelev või midagi tegev,C1
agaralt,innukalt millegagi tegutsevalt või tegelevalt,C1
agentuur,"agentide võrk, nende organisatsioon",B2
agressiivne,"kiirelt arenev, kasvav",B1
agressiivselt,pealetükkival ja ründaval moel,B2
agressiivsus,"ründav, rünnata tahtev, ründevalmis käitumine, olek",B2
agressioon,ühe või mitme riigi relvis kallaletung teisele riigile,B2
ahastama,ahastust väljendama,C1
ahastus,"suur hingevalu, lootusetus-, väljapääsmatustunne",C1
ahnus,"enda valdusse kiskuv või püüdev, võimalikult palju endale tahtev või endasse ahmiv",B2
ahvima,"matkima, imiteerima, järele aimama või tegema",B2
aiandus,aiakultuuride viljelemisega tegelev maaviljeluse haru,B2
aimama,"vaistlikult tundma, tunnetama või tajuma",C1
aina,"mitte rohkem kui, mitte kaugemal kui",B2
aine,"miski, millel on mass ja ruum",A2
aineline,"ainest koosnev, meeltega tajutavalt, reaalselt eksisteeriv",B2
ainukene,armsaim inimene,B1
ainult,muid võimalusi välistavana,A1
ainuõigus,"ainult teatavale isikule, isikute rühmale, asutusele ja nii edasi kuuluv õigus",C1
