SÕNA,NÄIDE,SARNASED,TASE
aabits,Kas lasteaias aabitsat ka juba õpitakse,"abitus, naarits, abitu, abi, ait",B1
aasta,Milline näeb Tallinn välja 2100. aastal,"aastane, astma, kaasa, paast, pasta",A1
aastaaeg,Meie kliimas on neli aastaaega,"aastane, kaasaeg, ahastama, ajastama, avastama",B1
aastakäik,Ajalehe kuues aastakäik,"maastik, allakäik, aastapäev, alasti, külaskäik",B2
aastane,Noorim laps sai eile aastaseks,"vastane, iga-aastane, auaste, kastan, saatan",A2
aastapäev,Koor tähistab oma kümnendat aastapäeva,"vastlapäev, naistepäev, tänapäev, auaste, esmaspäev",A2
aastaringselt,Ka suusatamist treenitakse aastaringselt,"sarnaselt, ööpäevaringselt, ajaliselt, ajutiselt, alaliselt",B2
aastatuhat,Jääajal kattus Põhja-Euroopa korduvalt aastatuhandeteks mandrijääga,"saastatus, statuut, taastumatu, ahastama, ajastama",B2
aastavahetus,Ta loodab aastavahetusel saada uue korteri,"saastatus, staatus, vahetus, nädalavahetus, kasvatus",B1
aatom,Vana raamat lagunes ta käes pisikesteks aatomiteks,"saatma, anatoomia, alam, auto, daam",B2
abi,Ilma abita ei saanud ta liikuda,"abil, abitu, abielu, abinõu, abitus",A1
abielluma,Ema abiellus vanas eas teist korda,"abielu, alluma, abielus, paeluma, abielupaar",A2
abikaasa,Külla olid kutsutud kõik kolleegid abikaasadega,"kaasa, kaasas, abivajaja, alatasa, allikas",A1
abiline,Nad võtsid selle projekti täitmiseks abilisi juurde,"aineline, pakiline, hiline, kabiin, arhailine",B2
abinõu,Kõiki võimalikke abinõusid on proovitud,"abitu, ainus, abitus, ainsus, ainuke",B1
abitu,Kutsikas oli jäetud abitus seisundis tänavale vedelema,"abitus, ait, abiturient, ahistus, haritud",B2
abiturient,Abiturientidel algasid viimased eksamid,"dirigent, labürint, patsient, assistent, intsident",B2
abivahend,Esperanto ja teised tehiskeeled jäävad ikkagi vaid suhtlemise abivahendeiks,"vahend, kaitsevahend, sidevahend, vahendus, kavand",B2
absoluutne,See oli kahepoolne absoluutne teineteise mõistmine,"absoluutselt, absurdne, vastuoluline, igasugune, omasugune",B2
absoluutselt,Kosmonaudid peavad olema absoluutselt terved,"ajutiselt, oluliselt, suuliselt, algselt, alusetu",B2
administraator,Võõrastemaja administraator,"administratsioon, administratiivne, diktaator, radiaator, indikaator",B1
admiral,Kohale tuli kindraleid ja admirale,"aduma, andma, kardinal, madal, mineraal",B2
adresseerima,Viimane lause oli adresseeritud pojale,"masseerima, arreteerima, atesteerima, raseerima, eksisteerima",B2
advokaat,Mina pole sinu ideede advokaat,"avokaado, vokaal, demokraat, mandaat, pardakaart",B1
aed,Töötoast läks uks taraga piiratud aeda,"ajend, asend, aednik, aeg, and",A1
aeg,Aeg kaob,"aegu, areng, laeng, aeguma, aga",A1
aeg-ajalt,Aeg-ajalt käib ta mul ikka külas ka,"agaralt, parajalt, aeglaselt, algaja, segamatult",A2
aeglane,Aeglase vooluga jõgi,"haiglane, pagulane, tegelane, vaenlane, segane",A1
aeglaselt,Me jalutasime aeglaselt kodu poole,"alaliselt, algselt, üheaegselt, aegsasti, teraselt",B1
aeglustama,Jooksja aeglustas tempot,"aeglustuma, alustama, elustama, austama, halvustama",B2
aeglustuma,Suudme lähedal jõe vool aeglustub,"alistuma, alustama, elustama, aeguma, astuma",B2
aegumatu,Aegumatu väärtusega taies,"talumatu, jaguma, taguma, harjumatu, katkematu",C1
aevastama,"Nohu on kange, muudkui nuuska ja aevasta","avastama, lavastama, vastama, relvastama, ahastama",B1
aga,"Kaupa on külluses, oleks aga raha","agar, taga, vaga, pagan, pagar",A1
agar,Proua oli väga agar ajalehe kohta sõna võtma,"pagar, avar, baar, kaar, paar",C1
agaralt,Lapsed olid agaralt tegevuses,"aparaat, targalt, vapralt, arvukalt, garantii",C1
agentuur,Riigid loovad oma agentuure teistes riikides,"inventuur, klientuur, langenu, arhitektuur, kandidatuur",B2
agressiivne,Tal oli erakordselt agressiivne vähi vorm,"agressiivselt, progressiivne, massiivne, passiivne, agressiivsus",B1
agressiivselt,Rootsi jäähokimeeskond alustas mängu agressiivselt,"agressiivsus, massiliselt, aktiivselt, intensiivselt, progressiivne",B2
agressiivsus,Koera agressiivsus oli ohtlik,"aktiivsus, intensiivsus, progressiivne, agressioon, positiivsus",B2
agressioon,Natsliku Saksamaa agressiooni ohvrid,"sessioon, depressioon, retsensioon, resolutsioon, regioon",B2
ahastama,Poja käitumine pani ema ahastama,"rahastama, ahistama, ajastama, avastama, laastama",C1
ahastus,Leinavate omaste ahastus ning valu,"rahastus, ahistus, avastus, armastus, halastus",C1
ahnus,Nälginu ahnusega asus ta toidu kallale,"ainus, annus, lahus, panus, vanus",B2
aiandus,Teda huvitab aiandus,"alandus, ainus, kalandus, laiendus, majandus",B2
aimama,Ta seisis paha aimamata tänaval,"laimama, imama, aitama, jamama, lamama",C1
aine,Aatom on aine väikseim lahutamatu osake,"aines, kaine, laine, maine, naine",A2
aineline,Ainelise kitsikuse tõttu pidi teater uksed sulgema,"hingeline, pingeline, imeline, ainukene, nimeline",B2
ainuõigus,Leiutise kasutamise ainuõigus,"inimõigus, õigus, autoriõigus, august, ebaõiglus",C1
ainuüksi,"Ainuüksi Tallinnas on sadu uusi maju, rääkimata siis teistest linnadest","aluspüksid, innukas, üksi, laiendus, mainekas",B2
aitama,"Tänaseks, selleks korraks aitab","paitama, alistama, laiutama, talitama, eitama",A1
ajakirjanik,Ta on Postimehe ajakirjanik,"kirjanik, kirjalik, kirjanduslik, allakirjutanu, kaelkirjak",A2
ajaleht,See ajaleht ilmub ainult 2 korda nädalas,"najale, ajaliselt, leht, ajaline, naljalt",A2
ajaloolane,Eesti ajaloolaste uusimad uurimused,"ajalooline, analoogne, asjaomane, itaallane, soolane",B1
ajalugu,Esmakordselt olümpiamängude ajaloos,"jagu, jalg, lugu, asjaolu, jalaluu",A2
ajama,Inimesed aeti kodunt sõjapõgenikena rännuteele,"kajama, rajama, vajama, jama, varjama",A2
ajendama,Uudishimu ajendas poisse võõrasse majja hiilima,"lahjendama, arendama, asendama, ammendama, juhendama",C1
aju,Pane ajud tööle,"paju, raju, taju, au, ju",B1
ajutine,Vajaksin seda raamatut ajutiseks kasutamiseks,"harjutamine, ajutiselt, arutamine, hiljutine, alatine",B1
ajutiselt,"Meie teed läksid lahku, kuid ainult ajutiselt","jõuliselt, aktiivselt, justnimelt, kaudselt, peatselt",B1
akadeemia,XVII sajandil nimetati gümnaasiume ka akadeemiateks,"akadeemik, keemia, akadeemiline, keema, maadlema",B2
akadeemik,Köler sai 1861. aastal akadeemiku nimetuse,"akadeemiline, kandik, keemia, saadik, paremik",B2
akadeemiline,Akadeemilised seltsid ja ühingud,"keemiline, kandiline, eetiline, pakiline, dünaamiline",B2
aknalaud,Aknalaual on lillepotid,"kala, laud, bakalaureus, armulaud, avokaado",B1
akordion,Pala esitasid kaks tütarlast akordionidel,"skorpion, kardin, erakordne, kordamine, esmakordne",B1
aktiivselt,Võtab kõigist üritustest aktiivselt osa,"praktiliselt, objektiivselt, aktivist, aktsiaselts, aktiivsus",B1
aktiivsus,"Loomingulise aktiivsuse tõus, langus","aktsiis, aktus, aktivist, kehtivus, positiivsus",B1
aktivist,"Nõukogude, looduskaitse, töölisliikumise aktivistid","aktsiis, artist, ateist, kaksteist, praktiliselt",B2
aktsent,Tal on tugev saksa aktsent,"patsient, patent, sent, dotsent, tsenter",B2
aktsiaselts,Loodi uus aktsiaselts,"tõsiselt, praktiliselt, aktsiis, keskmiselt, spetsiaalselt",B1
aktsionär,Aktsionäride koosolek toimub homme,"aktsioon, fraktsioon, reaktsioon, sanktsioon, vaktsiin",B2
aktsioon,Vaenulikud aktsioonid Kuuba vastu,"fraktsioon, reaktsioon, sanktsioon, sektsioon, ambitsioon",B2
aku,"Aku on tühi, peab seda laadima","au, ankur, hakul, lahku, paiku",B1
akustiline,Trummi ja elektrikitarride kõrval kasutati ka akustilisi pille - mandoliini ja viiulit,"kunstiline, faktiline, drastiline, praktiline, pakiline",B2
akvaarium,Sain sünnipäevaks akvaariumi kuldkaladega,"klaarima, avarii, avarus, solaarium, vaakum",B1
alaealine,Neil on kaks alaealist poega,"alaline, maapealne, vaevaline, vallaline, vanemaealine",B1
alahindama,"On inimesi, kes ennast alahindavad","alandama, auhindama, lahendama, laiendama, hindama",B2
alaliselt,Kas ta elab nüüd alaliselt Tallinnas,"tavaliselt, hulgaliselt, vaevaliselt, eluliselt, oluliselt",B2
alam,Elu areng alamatest vormidest kõrgemate vormide poole,"alarm, algama, halama, palsam, valama",B2
alandama,Alkohol alandab keskendumis- ning töövõimet,"vallandama, maandama, taandama, kahandama, kamandama",B1
alandus,Kannatasin ära sellegi alanduse,"kalandus, saladus, ladus, lahendus, laiendus",C1
alasti,Saunas on kõik alasti,"alati, halvasti, valusasti, alatine, maastik",B1
alatasa,Olukord oli keeruline ja muutus alatasa,"algatama, alates, jalats, halastama, jalgratas",C1
alateadlikult,Ta tegutses täiesti alateadlikult,"teadlikult, teaduslikult, vabatahtlikult, avalikult, ulatuslikult",B2
alateadvus,Harjumused on sööbinud sügavale alateadvusse,"teadvus, alates, teadus, algatus, palavus",B2
alates,Alates lõunast võime midagi kokku leppida,"jalats, alatine, algatus, alati, alatu",A2
alati,Ma olen sellest alati hästi aru saanud,"alatine, alatu, lahti, palat, saati",A1
album,Kleepis marke albumisse,"alluma, paluma, taluma, alumine, anum",A2
algaja,Luuletajana on ta alles algaja,"algama, salaja, salgama, algatama, maletaja",B1
algama,Tuleb uuesti otsast alata,"salgama, algatama, halama, jagama, magama",A1
algkool,Poeg käib alles algkoolis,"alkohol, allpool, erakool, ülikool, alkoholism",B1
algul,Möödunud sajandi algul,"algus, all, talgud, valgus, alla",B1
algus,"Alguse asi, küllap pärast hakkab paremini minema","valgus, argus, magus, valus, valgusti",A1
alistama,Jäähokis alistas Jugoslaavia Rootsi 3:1,"kallistama, valmistama, alistuma, alustama, talitama",B2
alistuma,Meie esireketil tuli alistuda Inglismaa tugevale profimängijale,"valmistuma, astuma, istuma, linastuma, talvituma",B2
alla,Sügiseks saadi majale põrandad alla,"valla, alluma, kallak, kallal, kallas",A1
allakäik,Ta allakäik on kiire ja valulik,"kallak, galaktika, jalakäija, külaskäik, allikas",B2
allapoole,Temperatuur langes nullist allapoole,"allpool, tahapoole, kallale, väljapoole, poole",B1
allergia,Tal on piima suhtes allergia,"allergiline, allikas, allkiri, energia, galerii",B1
alles,Alles taastatud ja nõrga riigina ei suuda me veel taastada täit stabiilsust,"eales, kalle, kallas, kallis, allikas",B1
allikas,Millisest allikast ta küll ammutab oma lõpmatu energia,"kaalikas, liblikas, kallas, kallis, karikas",B1
allpool,Tehase toodang on praegu üldisest tasemest tunduvalt allpool,"altpoolt, sealpool, ülalpool, halloo, pool",B1
alluma,Areng allub kindlatele seaduspärasustele,"allutama, paluma, taluma, kallutama, vallutama",B1
alluvus,Labor viidi instituudi alluvusest üle tehase alluvusse,"kalduvus, sallivus, palvus, jalaluu, palavus",B2
alpaka,Alpakast lusikad,"apsakas, läpakas, napakas, lopsakas, mahlakas",B2
alt,"Hoia, hoidke alt","altar, osalt, palat, pealt, salat",A2
altar,Leerilapsed astuvad altari ette,"tatar, aula, avar, baar, hala",B2
althõlma,Althõlma saadud tagavaraosad,"hõljuma, hõlmama, kaalutlema, kallama, sallima",C1
altkäemaks,Kohtunikku üritati altkäemaksuga ära osta,"käibemaks, kättemaks, katkema, ettemaks, lärmakas",B2
